"zone","n","min_km2","median_km2","mean_km2","max_km2","q25_km2","q75_km2"
"Urbana",136036,1.72392331846737e-08,0.115889122215721,0.662220771973194,1104.70561815638,0.0565557808399856,0.29693650414694
"Rural",57388,1.36203907172892e-07,41.1412636461337,147.238986793784,72968.1021887788,15.4241094476284,98.039572487987
