"gap_id","area_km2","category"
1,83.057575620053,"large"
2,2.46964359125392,"large"
3,1.157355427056,"large"
4,0.988996577331359,"medium"
5,0.787048643579897,"medium"
6,0.685153443107852,"medium"
7,0.615341212964414,"medium"
8,0.599066383223699,"medium"
9,0.507828187270764,"medium"
10,0.419933728039788,"medium"
11,0.404527845797888,"medium"
12,0.400969006459677,"medium"
13,0.387840776743717,"medium"
14,0.334312640358284,"medium"
15,0.309508537224106,"medium"
16,0.266748628693385,"medium"
17,0.265571274074666,"medium"
18,0.261758706739748,"medium"
19,0.258405451994262,"medium"
20,0.244120036434004,"medium"
21,0.233760636016931,"medium"
22,0.232424758061574,"medium"
23,0.218395349397449,"medium"
24,0.218210896984138,"medium"
25,0.200035298837457,"medium"
26,0.176956196038189,"medium"
27,0.170696984232234,"medium"
28,0.159701955026545,"medium"
29,0.154649375224256,"medium"
30,0.1450422980888,"medium"
31,0.127764599519369,"medium"
32,0.1225108210866,"medium"
33,0.112297166458931,"medium"
34,0.111418608949872,"medium"
35,0.110832072265387,"medium"
36,0.11065645421886,"medium"
37,0.103745419587923,"medium"
38,0.103663390122476,"medium"
39,0.102336072274467,"medium"
40,0.101794389373486,"medium"
41,0.100806624975562,"medium"
42,0.100305137113116,"medium"
43,0.0988746157509843,"medium"
44,0.0966982377877906,"medium"
45,0.0963561786189439,"medium"
46,0.0944128609598433,"medium"
47,0.0930266848163446,"medium"
48,0.0928709129554768,"medium"
49,0.0907055393751228,"medium"
50,0.0891853619854645,"medium"
51,0.0876232611853444,"medium"
52,0.0874677966899872,"medium"
53,0.0871710738132115,"medium"
54,0.0812183157779463,"medium"
55,0.0810123694172567,"medium"
56,0.0806610898952875,"medium"
57,0.0797680603902073,"medium"
58,0.0774510659486477,"medium"
59,0.0761908742875969,"medium"
60,0.0753570290596583,"medium"
61,0.0728707363654494,"medium"
62,0.0724664447469753,"medium"
63,0.0721365718471017,"medium"
64,0.0710186527808306,"medium"
65,0.0703683908923268,"medium"
66,0.068238725116907,"medium"
67,0.0646136624804195,"medium"
68,0.0641781972471662,"medium"
69,0.0640657246556928,"medium"
70,0.0630875636395323,"medium"
71,0.0622674314750313,"medium"
72,0.0622298050193307,"medium"
73,0.0612622295964509,"medium"
74,0.057827013422342,"medium"
75,0.0572747764068865,"medium"
76,0.0554841921074651,"medium"
77,0.0533251257453633,"medium"
78,0.0519105618572949,"medium"
79,0.0509748236649372,"medium"
80,0.0469430711011225,"medium"
81,0.0466279566877484,"medium"
82,0.0464008948250236,"medium"
83,0.0458989598110295,"medium"
84,0.0454451568918712,"medium"
85,0.0453108322736984,"medium"
86,0.0450714290388465,"medium"
87,0.0441302786193751,"medium"
88,0.0438487619799487,"medium"
89,0.0436734106763024,"medium"
90,0.043415926878144,"medium"
91,0.0429521814840813,"medium"
92,0.0407702161552906,"medium"
93,0.0391099813385312,"medium"
94,0.0389881730789645,"medium"
95,0.0382478411671203,"medium"
96,0.0380199088748181,"medium"
97,0.0379799173159143,"medium"
98,0.0379333871136308,"medium"
99,0.0371907271520072,"medium"
100,0.036900293781818,"medium"
101,0.0347759456727672,"medium"
102,0.0334933029341949,"medium"
103,0.0330886002905362,"medium"
104,0.0330632515045418,"medium"
105,0.0327739006689801,"medium"
106,0.0321883098302964,"medium"
107,0.0316061704538558,"medium"
108,0.0308494757233915,"medium"
109,0.0306168814810766,"medium"
110,0.0302706073359803,"medium"
111,0.0300679098231089,"medium"
112,0.0294017341508195,"medium"
113,0.0292426131157101,"medium"
114,0.0287020300408057,"medium"
115,0.0283218597155511,"medium"
116,0.0281197353084721,"medium"
117,0.0278053096981706,"medium"
118,0.0271450980270196,"medium"
119,0.0268235138607882,"medium"
120,0.0267197142785857,"medium"
121,0.025631106894003,"medium"
122,0.0253255015202435,"medium"
123,0.0247217190109799,"medium"
124,0.0242671694042194,"medium"
125,0.0241787800364811,"medium"
126,0.023206813614907,"medium"
127,0.0231152442768067,"medium"
128,0.0228001020918323,"medium"
129,0.022690218206578,"medium"
130,0.0219059114344683,"medium"
131,0.0218648691821479,"medium"
132,0.0215600004586959,"medium"
133,0.0213301966655219,"medium"
134,0.0212245245780153,"medium"
135,0.0208259458541968,"medium"
136,0.0207598125687683,"medium"
137,0.020589936461987,"medium"
138,0.0205405851362553,"medium"
139,0.020245079618293,"medium"
140,0.0197707067689206,"medium"
141,0.0197348046664577,"medium"
142,0.0191087528568152,"medium"
143,0.0190576763407037,"medium"
144,0.0188188616948128,"medium"
145,0.0184377569052652,"medium"
146,0.0181450088862535,"medium"
147,0.0176153257427048,"medium"
148,0.0172400101635146,"medium"
149,0.0171919241476618,"medium"
150,0.0171813882892507,"medium"
151,0.0169804779880978,"medium"
152,0.0168948811876439,"medium"
153,0.0168572637489066,"medium"
154,0.0167703927325942,"medium"
155,0.0162313409702219,"medium"
156,0.0161617679293221,"medium"
157,0.0159889058539867,"medium"
158,0.0159328579856697,"medium"
159,0.0158378333603833,"medium"
160,0.015740395514033,"medium"
161,0.0156523192786537,"medium"
162,0.0154308958441182,"medium"
163,0.0153683349454291,"medium"
164,0.0150590513479635,"medium"
165,0.0148466052377759,"medium"
166,0.0147414820540911,"medium"
167,0.0146608391995182,"medium"
168,0.0142735343587436,"medium"
169,0.0142437969213389,"medium"
170,0.0142046286275298,"medium"
171,0.0139791144193959,"medium"
172,0.01382070594313,"medium"
173,0.0137711483431398,"medium"
174,0.0137599390442846,"medium"
175,0.0136211276117787,"medium"
176,0.0135047177530127,"medium"
177,0.0132977663564719,"medium"
178,0.0131026863135048,"medium"
179,0.0130042292011785,"medium"
180,0.0127088174350709,"medium"
181,0.0126822266901657,"medium"
182,0.0126427230354063,"medium"
183,0.0124625221287273,"medium"
184,0.0123938133671288,"medium"
185,0.0122486478969681,"medium"
186,0.0122352986370102,"medium"
187,0.0121248478119751,"medium"
188,0.0120522468301519,"medium"
189,0.0118349709404856,"medium"
190,0.01173065218959,"medium"
191,0.0117286332784344,"medium"
192,0.0117222577047627,"medium"
193,0.0117033584580766,"medium"
194,0.0115330419457946,"medium"
195,0.011441229406456,"medium"
196,0.0114106708397032,"medium"
197,0.0112210497096688,"medium"
198,0.0110275389680316,"medium"
199,0.0108210037504267,"medium"
200,0.0107956949945241,"medium"
201,0.0105090439172639,"medium"
202,0.010374428077908,"medium"
203,0.00984506733676419,"small"
204,0.00982110064415634,"small"
205,0.00970870389244612,"small"
206,0.00955019166700915,"small"
207,0.00953954114673752,"small"
208,0.0095382857569668,"small"
209,0.00947196388908988,"small"
210,0.00942662466398603,"small"
211,0.0090527775213148,"small"
212,0.00903686470971815,"small"
213,0.00900977777046338,"small"
214,0.00880195014627837,"small"
215,0.0087917275650081,"small"
216,0.00877678676430136,"small"
217,0.00868572496310808,"small"
218,0.00839288886138052,"small"
219,0.00823769289173186,"small"
220,0.00812342236179113,"small"
221,0.00807650978409121,"small"
